name,address,address_line_2,city,province,postal_code,latitude,longitude,phone,email,fuel_brand,price_zone,available_fuel_types,fuel_prices_petrol_95,fuel_prices_petrol_93,fuel_prices_diesel_50ppm,fuel_prices_diesel_500ppm,other_offerings,contact_1_name,contact_1_surname,contact_1_email,contact_1_office_phone,contact_1_mobile_phone,contact_2_name,contact_2_surname,contact_2_email,contact_2_office_phone,contact_2_mobile_phone,vat_number,bank_name,account_holder,account_number,branch_code
"Astron Energy","Astron Energy",,"Cape Town","Western Cape",,-33.9327338,18.5101063,+27 21 531 4760,,Astron Energy,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Shell","61 Main Road",,"Unknown","Western Cape",7975,-34.1377221,18.4315205,+27 21 782 0800,,Shell,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"BP","62 Main Road",,"Fish Hoek","Western Cape",7945,-34.136091,18.4317372,+27 21 782 1615,,BP,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Astron Energy","Astron Energy",,"Fish Hoek","Western Cape",,-34.1352172,18.4328101,+27 21 782 4136,,Astron Energy,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Engen","69 Main Road",,"Cape Town","Western Cape",,-34.1385206,18.4311536,+27 21 782 6059,,Engen,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Shell","Main Road",,"Unknown","Western Cape",7985,-34.1224855,18.3908123,+27 21 785 1993,,Shell,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Astron Energy","N7",,"Citrusdal","Western Cape",,-32.5613466,18.9862091,,,Astron Energy,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Astron Energy","1 Dock Road",,"Cape Town","Western Cape",8001,-33.9115352,18.4230221,,,Astron Energy,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"BP","BP",,"Kenridge","Western Cape",7550,-33.862564,18.6336006,+27 21 914 7904,,BP,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Shell","Shell",,"Cape Town","Western Cape",8001,-33.9215889,18.4166297,+27 21 424 0072,,Shell,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Astron Energy","Clarence Drive",,"Betty's Bay","Western Cape",7141,-34.356503,18.8993047,,,Astron Energy,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Astron Energy","Astron Energy",,"Unknown","Northern Cape",,-31.6080668,18.7318557,,,Caltex,Inland,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"TotalEnergies","TotalEnergies",,"Sedgefield","Western Cape",6573,-34.0147555,22.8022845,+27 44 343 1112,,Total,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Engen","Engen",,"Cape Town","Western Cape",,-34.0209148,18.4452216,+27 21 794 5136,,Engen,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Astron Energy","Astron Energy",,"Ladismith","Western Cape",,-33.4977622,21.2686788,+27 28 551 1477,,Astron Energy,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Shell","Shell",,"Unknown","Western Cape",,-33.5292083,21.6818847,,,Shell,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Astron Energy","Astron Energy",,"Wilderness","Eastern Cape",,-33.9981158,22.6155621,+27 44 877 1122,,Astron Energy,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"TotalEnergies","TotalEnergies",,"Brackenfell","Western Cape",7560,-33.8590335,18.6828689,,,Total,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Engen","31 Station Street",,"Albertinia","Western Cape",,-34.2117459,21.5844664,+27 28 735 1123,,Engen,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Shell","Shell",,"Unknown","Western Cape",6695,-34.2117277,21.585155,+27 28 735 1316,,Shell,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"BP","BP",,"Unknown","Eastern Cape",,-33.9917681,22.5186236,,,BP,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"TotalEnergies","TotalEnergies",,"Cape Town","Western Cape",7945,-34.0619,18.4356,+27 21 715 9514,,Total,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Astron Energy","Louis Fourie Road",,"Mossel Bay","Western Cape",,-34.144839,22.102165,+27 44 695 1833,,Astron Energy,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Shell","Shell",,"Mossel Bay","Western Cape",6506,-34.1447224,22.1013369,+27 44 695 1469,,Shell,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Engen","40 Voortrekker Street",,"Porterville","Western Cape",,-33.0108183,18.9936212,+27 22 931 2105,,Engen,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Engen","Engen",,"Bellville","Western Cape",,-33.8740836,18.6180752,+27 21 913 2102,,Engen,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Engen","6 Old Paarl Road",,"Cape Town","Western Cape",,-33.8841968,18.6798357,+27 21 981 2323,,Engen,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"TotalEnergies","TotalEnergies",,"Cape Town","Western Cape",7560,-33.8842189,18.6784432,,,Total,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Shell","Shell",,"Bellville","Western Cape",7530,-33.9045792,18.6118522,+27 21 930 7764,,Shell,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
"Astron Energy","Astron Energy",,"Stellenbosch","Western Cape",,-33.8774873,18.8142138,+27 21 865 2036,,Astron Energy,Coastal,Petrol 95|Diesel 50ppm,,,,,Convenience Store,,,,,,,,,,,,,,,
